"UBIGEO","no2_mean_2019","no2_mean_2020","no2_mean_2021","no2_mean_2022","no2_mean_2023","no2_mean_2024"
"110304",4.4204083094887e-05,4.50881378835358e-05,4.4432334609139e-05,4.82469319968644e-05,4.41712250799484e-05,4.81232328356022e-05
"110305",4.42594802408725e-05,4.54574334231024e-05,4.45915240785516e-05,4.84339773353387e-05,4.34511499615235e-05,4.74978735030629e-05
"110401",4.42761517406768e-05,4.51583731027386e-05,4.45377035886104e-05,4.88268559899711e-05,4.3637532259363e-05,4.68529612653188e-05
"110402",4.38869566793395e-05,4.47704821803958e-05,4.40260680110758e-05,4.81096010792648e-05,4.32434665254645e-05,4.67608572268349e-05
"110403",4.30959899283706e-05,4.38636091944444e-05,4.35818735026781e-05,4.7759782503151e-05,4.22278843771607e-05,4.54785826417656e-05
"110404",4.31251980300796e-05,4.40283772816705e-05,4.34825653160951e-05,4.73358064437038e-05,4.21081885140164e-05,4.5686978348983e-05
"110405",4.09906537011323e-05,4.1628340601302e-05,4.12256030003814e-05,4.53936051803322e-05,3.9814598434689e-05,4.30726782080109e-05
"110501",4.55795523553638e-05,4.67971565242613e-05,4.60907103235179e-05,5.08177975526321e-05,4.61996869913329e-05,4.89291223808898e-05
"110502",4.1593938008638e-05,4.24067162758904e-05,4.18572945323206e-05,4.62130339307834e-05,4.08039874159189e-05,4.38725685634233e-05
"110503",4.54243625454041e-05,4.63191559282904e-05,4.60003221313492e-05,5.05235125566857e-05,4.52709616186695e-05,4.86032883722099e-05
"110504",4.61118449099051e-05,4.71219552637653e-05,4.65593913999969e-05,5.12867985228201e-05,4.63521905521345e-05,4.95322758486411e-05
"110505",4.24602486295447e-05,4.40280614936981e-05,4.26602463102714e-05,4.68817002926358e-05,4.19472703578104e-05,4.5277144832744e-05
"110506",4.61395305904097e-05,4.72669636875099e-05,4.65305924530265e-05,5.14386354658387e-05,4.63508332885679e-05,4.98810219248874e-05
"110507",4.53260582872096e-05,4.66664065600719e-05,4.5660375465e-05,5.03329607456998e-05,4.56873286792132e-05,4.85765343848068e-05
"110508",4.78350230662899e-05,4.95689255301451e-05,4.84565079963665e-05,5.37238548091721e-05,4.89180882675702e-05,5.2061697834756e-05
"120101",3.61396656549226e-05,3.78769532680708e-05,3.6899040447744e-05,4.16663836279888e-05,3.58261891269418e-05,3.84917587899773e-05
"120104",3.7328021310556e-05,3.96533909659322e-05,3.91456233457737e-05,4.3370114016394e-05,3.6881988315749e-05,3.98006751333192e-05
"120105",3.71834405728145e-05,3.92005727783905e-05,3.7973896344013e-05,4.25405869743947e-05,3.6648023067585e-05,3.93281470821035e-05
"120106",3.61891558604218e-05,3.77977926092818e-05,3.66733145196748e-05,4.20610895805045e-05,3.56793965014636e-05,3.79563167651459e-05
"120107",4.01974011838904e-05,4.08877634995825e-05,4.05511857007938e-05,4.67227447232623e-05,4.11147024365344e-05,4.32093424419023e-05
"120108",3.65667152956403e-05,3.82538843811394e-05,3.70527743816963e-05,4.17927980925094e-05,3.58429912161483e-05,3.84398344967123e-05
"120111",3.70270688337834e-05,3.87723179411847e-05,3.77358900069547e-05,4.2788828642831e-05,3.66905502009023e-05,3.95636588790357e-05
"120112",3.67896761872028e-05,3.91971782586534e-05,3.77762560433597e-05,4.28645529676642e-05,3.67974281266849e-05,3.95313716884706e-05
"120113",3.66342070737569e-05,3.88018851283931e-05,3.74699272732035e-05,4.22410913943943e-05,3.63422843784832e-05,3.89794719514293e-05
"120114",3.69798028076495e-05,3.81456043939172e-05,3.75460653801833e-05,4.26064264385383e-05,3.66793354690032e-05,3.94154915549882e-05
"120116",3.76797147255329e-05,3.8877647832161e-05,3.81050598649153e-05,4.27739465959431e-05,3.69645388842968e-05,4.00618129048434e-05
"120117",3.71596622304479e-05,3.88507120667526e-05,3.84223877065226e-05,4.3469014175387e-05,3.7007701841026e-05,3.98882969893536e-05
"120119",4.00654054725196e-05,4.079896092255e-05,4.08294604191722e-05,4.63063284885192e-05,4.10409086628278e-05,4.28868708070299e-05
"120120",3.72390865750595e-05,3.94592687901814e-05,3.81163215756032e-05,4.29054337040789e-05,3.67014099797838e-05,3.97093703194065e-05
"120121",3.94257675857081e-05,4.04994023508728e-05,4.02198871704948e-05,4.54362285918684e-05,3.99047757523621e-05,4.24307256785198e-05
"120122",3.58030509965787e-05,3.77088478056842e-05,3.65783233568072e-05,4.12660708287407e-05,3.56201930358013e-05,3.79271647149566e-05
"120124",3.48899036964625e-05,3.71043699659888e-05,3.55376260826384e-05,3.98900399020234e-05,3.42444825478097e-05,3.65635015994807e-05
"120125",4.20422476898382e-05,4.18283146338676e-05,4.24336787381905e-05,4.86669952404519e-05,4.28059433844125e-05,4.59492382914909e-05
"120126",3.66134481343021e-05,3.82745447778093e-05,3.6811535957628e-05,4.17968240003741e-05,3.59036812575421e-05,3.8405347847906e-05
"120127",3.5582012893674e-05,3.74017483125133e-05,3.58492407633559e-05,4.11995268432877e-05,3.53162587261165e-05,3.76708671356118e-05
"120128",3.60394176949296e-05,3.76378078961813e-05,3.66941484204158e-05,4.13148973736941e-05,3.5583263909794e-05,3.80211944749394e-05
"120129",3.81108957048477e-05,3.87695392502915e-05,3.87476549914589e-05,4.39560160849272e-05,3.75079881828237e-05,4.03257688243145e-05
"120130",3.74072393393134e-05,3.90632122148025e-05,3.88486406078604e-05,4.38533003399333e-05,3.74254632091682e-05,4.00679913389124e-05
"120132",3.68378978232479e-05,3.8769125314662e-05,3.80655304567216e-05,4.3146521220426e-05,3.68707767756594e-05,3.94245115001926e-05
"120133",3.77700825249879e-05,3.91517192525341e-05,3.82190944352918e-05,4.33112147140148e-05,3.77149309116297e-05,3.98903372956699e-05
"120134",3.89958455947215e-05,3.98673049718425e-05,3.99645466359442e-05,4.53114067386004e-05,3.93390960284293e-05,4.24036400909652e-05
"120135",3.50153739429192e-05,3.71377518646985e-05,3.58486114227848e-05,4.0153635762281e-05,3.44619065282394e-05,3.67728407129415e-05
